Autor;Título;Catálogo;Descripción;Instrumentación;Fecha;Letras;Comentarios;Edición;Editor;Estreno;URL
Bach, Johann Sebastian (1685–1750);Es ist das Heil uns kommen her;BWV 9;Chorale cantata (6th Sunday after Trinity);S*S*, A*, T*, B*, S, A, T, B, Fl trav, Ob d’am, Vl, Va, Bc,;;Link to lyrics;"Text: Paul Speratus (1523); stanzas 2-11 (mvts. 2-6) reworked (author unknown)";NBANBA, I/17.2, S. 83 (Reinmar Emans, 1993) –;Übernahme von www.bach.gwdg.de;20 July 173220 July 1732, Leipzig;https://www.bach-digital.de/receive/BachDigitalWork_work_00000011?lang=en
Bach, Johann Sebastian (1685–1750);Meine Seel erhebt den Herren;BWV 10;Chorale cantata (The Visitation of Mary [2 July]);S*S*, A*, T*, B*, S, A, T, B, Tr, Ob, Vl, Va, Bc,;;Link to lyrics;Literature: Dürr Chr 2, S. 16.;NBANBA, I/28.2, S. 131 (Uwe Wolf, 1995) – Critical report (1995), S. 67;Übernahme von www.bach.gwdg.de;2 July 17242 July 1724, Leipzig;https://www.bach-digital.de/receive/BachDigitalWork_work_00000012?lang=en
Bach, Johann Sebastian (1685–1750);Lobet Gott in seinen Reichen (Ascension Oratorio);BWV 11;Oratorio (Ascension Day);S*S*, A*, T*, B*, S, A, T, B, Tr, Timp, Fl trav, Ob, Vl, Va, Bc,;;Link to lyricsGottfried Wilhelm Sacer (1635-1699);"Text: Luke 24:50ff., Acts 1:9-12 and Mark 16:19 (mvt. 2, 5 and 7); mvt. 6: stanza 4 from “Du Lebensfürst, Herr Jesu Christ” by Johann Rist (1641); mvt. 9: stanza 7 from “Gott fähret auf gen Himmel“ by Gottfried Wilhelm Sacer (1697); unknown author";NBANBA, II/8, S. 1 (Paul Brainard, 1978) – Critical report (1987), S. 10;Übernahme von www.bach.gwdg.de;15 May 173815 May 1738, Leipzig;https://www.bach-digital.de/receive/BachDigitalWork_work_00000013?lang=en
Bach, Johann Sebastian (1685–1750);Weinen, Klagen, Sorgen, Zagen;BWV 12;Sacred cantata (4th Sunday of Easter);A*A*, T*, B*, S, A, T, B, Tr, Ob, Vl, Va, Fag, Bc,;;Link to lyricsSamuel Rodigast (1649-1708);"Text: probably Salomon Franck; mvt. 3: Acts 14:22; mvt. 7: stanza 6 from 'Was Gott tut, das ist wohlgetan' by Samuel Rodigast (1674)";NBANBA, I/11.2, S. 1 (Reinmar Emans, 1989) – Critical report (1989), S. 11;Übernahme von www.bach.gwdg.de;22 April 171422 April 1714, 30 April 1724, Weimar;https://www.bach-digital.de/receive/BachDigitalWork_work_00000014?lang=en
Bach, Johann Sebastian (1685–1750);Meine Seufzer, meine Tränen;BWV 13;Sacred cantata (2nd Sunday of Epiphany);S*S*, A*, T*, B*, S, A, T, B, Fl dolce, Ob da cac, Vl, Va, Bc,;;Link to lyricsJohann Heermann (1585-1647);"Text: mvts. 1-2 + 4-5 by Georg Christian Lehms (1711); mvt. 3: stanza 3 from 'Zion klagt mit Angst und Schmerzen' by Johann Heermann (1636); mvt. 6: stanza 9 from 'In allen meinen Taten' by Paul Fleming (1641)";NBANBA, I/5, S. 229 (Marianne Helms, 1975) – Critical report (1976), S. 197;Übernahme von www.bach.gwdg.de;20 January 172620 January 1726, Leipzig;https://www.bach-digital.de/receive/BachDigitalWork_work_00000015?lang=en
Bach, Johann Sebastian (1685–1750);Wär Gott nicht mit uns diese Zeit;BWV 14;Chorale cantata (4th Sunday of Epiphany);S*S*, T*, B*, S, A, T, B, Cr, Ob, Vl, Va, Bc,;;Link to lyrics;"Text: Martin Luther (1524); after Psalm 124; stanza 2 (mvt 3, also mvt 2 and 4 very freely) reworked (author unknown)";NBANBA, I/6, S. 139 (Peter Wollny, 1996) – Critical report (1996), S. 131;Übernahme von www.bach.gwdg.de;30 January 173530 January 1735, Leipzig;https://www.bach-digital.de/receive/BachDigitalWork_work_00000016?lang=en
Bach, Johann Ludwig (1677–1731);Denn du wirst meine Seele nicht in der Hölle lassen;JLB 21;Sacred cantata (1st Easter Day);S*S*, A*, T*, B*, S, A, T, B, Tr, Timp, Vl, Va, Bc,;;Link to lyrics;"Lit.: W. H. Scheide, in: BJ 1959, S. 52ff.; ders. in: BJ 1961, S. 5ff.; Dok. III, Nr. 704K";NBANBA, I/41, -- (Andreas Glöckner, 2000) – Critical report (2000), S. 113;Übernahme von www.bach.gwdg.de;21 April 172621 April 1726;https://www.bach-digital.de/receive/BachDigitalWork_work_00000017?lang=en
Bach, Johann Sebastian (1685–1750);Herr Gott, dich loben wir;BWV 16;Sacred cantata (New Year/Circumcision);A*A*, T*, B*, S, A, T, B, Cr da cac, Ob, Ob da cac, Vl, Va, Va, Bc,;;Link to lyricsMartin Luther (1483-1546);"Text: mvt. 1-5: Georg Christian Lehms (1711); mvt. 1: lines 1-4 after the early church hymn Tedeum (German by Martin Luther, 1529); mvt. 6: stanza 6 from 'Helft mir Gotts Güte preisen' by Paul Eber (1580)";NBANBA, I/4, S. 103 (Werner Neumann, 1965) – Critical report (1964), S. 65;Übernahme von www.bach.gwdg.de;1 January 17261 January 1726, Leipzig;https://www.bach-digital.de/receive/BachDigitalWork_work_00000018?lang=en
Bach, Johann Sebastian (1685–1750);Wer Dank opfert, der preiset mich;BWV 17;Sacred cantata (14th Sunday after Trinity);S*S*, A*, T*, B*, S, A, T, B, Ob, Vl, Va, Bc,;;Link to lyricsJohann Gramann (1487-1541);"Text: author unknown; mvt. 1: Psalm 50:23; mvt. 4: Luke 17:15-16; mvt. 7: stanza 3 from 'Nun lob mein Seel den Herren' by Johann Gramann (1530); libretto printings: Meiningen 1704/1719, Rudolstadt 1726, Birkmann 1728";NBANBA, I/21, S. 147 (Werner Neumann, 1958) – Critical report (1959), S. 158;Übernahme von www.bach.gwdg.de;22 September 172622 September 1726, Leipzig;https://www.bach-digital.de/receive/BachDigitalWork_work_00000019?lang=en
Bach, Johann Sebastian (1685–1750);Gleich wie der Regen und Schnee vom Himmel fällt (Leipzig version);BWV 18;Sacred cantata (Sexagesima);"S*, T*, B*, S, A, T, B; Flauto dolce I, II, Viola I, II, III, IV, Fagotto, Violoncello, Violone/Orgel, Basso Continuo";;Link to lyricsLazarus Spengler (1479-1534);Text: see BWV 18 (Weimar version);NBANBA, I/7, S. 107 (Werner Neumann, 1956) – Critical report (1957), S. 102;Übernahme von www.bach.gwdg.de;13 February 172413 February 1724, Leipzig;https://www.bach-digital.de/receive/BachDigitalWork_work_00000020?lang=en
Bach, Johann Sebastian (1685–1750);Gleich wie der Regen und Schnee vom Himmel fällt (early version);BWV 18;Sacred cantata (Sexagesima);"S*, T*, B*, S, A, T, B; Viola I, II, III, IV, Fagotto, Violoncello, Basso Continuo (Violone und Orgel)";;Link to lyricsMartin Luther (1483-1546);"Text: Erdmann Neumeister (1716/17); mvt. 2: Isaiah 55:10-11; mvt. 3: with lines from the Litany by Martin Luther (1528); mvt. 5: stanza 8 from 'Durch Adams Fall ist ganz verderbt' by Lazarus Spengler (1524)";NBANBA, I/7, S. 81 (Werner Neumann, 1956) – Critical report (1957), S. 102;Übernahme von www.bach.gwdg.de;24 February 171524 February 1715, Weimar;https://www.bach-digital.de/receive/BachDigitalWork_work_00000021?lang=en
Bach, Johann Sebastian (1685–1750);Es erhub sich ein Streit;BWV 19;Sacred cantata (Michaelmas [29 September]);S*S*, T*, B*, S, A, T, B, Tr, Timp, Ob, Ob d’am, Vl, Va, Bc,;;Link to lyrics;Printing: Birkmann 1728;NBANBA, I/30, S. 55 (Marianne Helms, 1973) – Critical report (1974), S. 57;Übernahme von www.bach.gwdg.de;29 September 172629 September 1726, Leipzig;https://www.bach-digital.de/receive/BachDigitalWork_work_00000022?lang=en
Bach, Johann Sebastian (1685–1750);O Ewigkeit, du Donnerwort;BWV 20;Chorale cantata (1st Sunday after Trinity);A*A*, T*, B*, S, A, T, B, Tr da tir, Ob, Vl, Va, Bc,;;Link to lyrics;"Text: Johann Rist (1642, version of twelve stanzas); stanzas 1-7 and 9-11 (mvts. 2-6 and 8-10) reworked (author unknown)";NBANBA, I/15, S. 133 (James Webster, 1967) – Critical report (1968), S. 127;Übernahme von www.bach.gwdg.de;11 June 172411 June 1724, Leipzig;https://www.bach-digital.de/receive/BachDigitalWork_work_00000023?lang=en
Bach, Johann Sebastian (1685–1750);Ich hatte viel Bekümmernis [1st version];BWV 21;Sacred cantata (3rd Sunday after Trinity);S*S*, A*, T*, B*, S, A, T, B, Tr, Timp, Ob, Vl, Va, Fag, Bc,;;Link to lyricsGeorg Neumark (1621-1681);Weimar version (C minor, choir resp. chamber pitch);NBANBA, I/16, S. 109 (Paul Brainard, 1981) – Critical report (1984), S. 99;Übernahme von www.bach.gwdg.de;17 June 171417 June 1714, Weimar;https://www.bach-digital.de/receive/BachDigitalWork_work_00000024?lang=en
Bach, Johann Sebastian (1685–1750);Ich hatte viel Bekümmernis [2nd version];BWV 21;Sacred cantata (3rd Sunday after Trinity);S*S*, A*, T*, B*, S, A, T, B, Tr, Timp, Ob, Vl, Va, Fag, Bc,;;Link to lyrics;Köthen version (D minor, chamber pitch);NBANBA, I/16, -- (Paul Brainard, 1984) – Critical report (1984), S. 99;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000025?lang=en
Bach, Johann Sebastian (1685–1750);Ich hatte viel Bekümmernis [3rd version];BWV 21;Sacred cantata (3rd Sunday after Trinity);S*S*, A*, T*, B*, S, A, T, B, Tr, Timp, Tbne, Ob, Vl, Va, Fag, Bc,;;Link to lyrics;Leipzig version in C minor (chamber pitch);NBANBA, I/16, -- (Paul Brainard, 1984) – Critical report (1984), S. 99;Übernahme von www.bach.gwdg.de;13 June 172313 June 1723, Leipzig;https://www.bach-digital.de/receive/BachDigitalWork_work_00000026?lang=en
Bach, Johann Sebastian (1685–1750);Jesus nahm zu sich die Zwölfe;BWV 22;Sacred cantata (Estomihi);S*S*, A*, T*, B*, S, A, T, B, Ob, Vl, Va, Bc,;;Link to lyricsElisabeth Creutziger (c. 1500-1535);"Text: author unknown; mvt. 1: Luke 18:31+34; mvt. 5: stanza 5 from 'Herr Christ, der einig Gotts Sohn' by Elisabeth Creutziger (1524); first libretto printing: Leipzig 1724 I";NBANBA, I/8, S. 1 (Christoph Wolff, 1992) – Critical report (1998), S. 13;Übernahme von www.bach.gwdg.de;7 February 17237 February 1723, 20 February 1724, Leipzig, St. Thomas Church;https://www.bach-digital.de/receive/BachDigitalWork_work_00000027?lang=en
Bach, Johann Sebastian (1685–1750);Du wahrer Gott und Davids Sohn [1st version];BWV 23;Sacred cantata (Estomihi);S*S*, A*, T*, B*, S, A, T, B, Ob, Vl, Va, Bc,;;Link to lyrics;"1st version in C minor: this version has got 3 movements, the final chorale ""Christe, du Lamm Gottes"" is not included. This first version was composed in Köthen as an audition piece for the position of Thomaskantor in Leipzig. A performance of this version is not proven.";NBANBA, I/8, S. 35 (Christoph Wolff, 1992) – Critical report (1998), S. 28;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000028?lang=en
Bach, Johann Sebastian (1685–1750);Du wahrer Gott und Davids Sohn [2nd version];BWV 23;Sacred cantata (Estomihi);S*S*, A*, T*, B*, S, A, T, B, Cto, Tbne, Ob d’am, Vl, Va, Bc,;;Link to lyrics;"Text: unknown author; mvt. 4: Agnus Dei (German, Braunschweig, 1528)";NBANBA, I/8.1, S. 71 (Christoph Wolff, 1992) – Critical report (1998), S. 28;Übernahme von www.bach.gwdg.de;7 February 17237 February 1723, 20 February 1724, Leipzig, St. Thomas Church;https://www.bach-digital.de/receive/BachDigitalWork_work_00000029?lang=en
Bach, Johann Sebastian (1685–1750);Du wahrer Gott und Davids Sohn [3rd version];BWV 23;Sacred cantata (Estomihi);S*S*, A*, T*, B*, S, A, T, B, Ob, Vl, Va, Bc,;;Link to lyrics;latest Leipzig version (C minor, chamber pitch, 4 movements);NBANBA, I/8, S. 35 (Christoph Wolff, 1992) – Critical report (1998), S. 28;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000030?lang=en
Bach, Johann Sebastian (1685–1750);Ein ungefärbt Gemüte;BWV 24;Sacred cantata (4th Sunday after Trinity);S*S*, A*, T*, B*, S, A, T, B, Cln, Ob, Ob d’am, Vl, Va, Bc,;;Link to lyricsJohann Heermann (1585-1647);"Text: Erdmann Neumeister (Leipzig 1716/1717); mvt. 3: Matthew 7:12; mvt. 6: stanza 1 from 'O Gott, du frommer Gott' by Johann Heermann (1630)";NBANBA, I/17.1, S. 47 (Kirsten Beißwenger, 1993) – Critical report (1993), S. 56;Übernahme von www.bach.gwdg.de;20 June 172320 June 1723, Leipzig;https://www.bach-digital.de/receive/BachDigitalWork_work_00000031?lang=en
Bach, Johann Sebastian (1685–1750);Es ist nichts Gesundes an meinem Leibe;BWV 25;Sacred cantata (14th Sunday after Trinity);S*S*, T*, B*, S, A, T, B, Cto, Tbne, Fl dolce, Ob, Vl, Va, Bc,;;Link to lyricsJohann Heermann (1585-1647);"Text: some parallels to a text by J. J. Rambach (Geistliche Poesien, 1720); mvt. 1: Psalm 38:4; mvt. 6: stanza 12 from 'Treuer Gott, ich muss dir klagen' by Johann Heermann (1630)";NBANBA, I/21, S. 79 (Werner Neumann, 1958) – Critical report (1959), S. 83;Übernahme von www.bach.gwdg.de;29 August 172329 August 1723, Leipzig;https://www.bach-digital.de/receive/BachDigitalWork_work_00000032?lang=en
Bach, Johann Sebastian (1685–1750);Ach wie flüchtig, ach wie nichtig;BWV 26;Chorale cantata (24th Sunday after Trinity);S*S*, A*, T*, B*, S, A, T, B, Cr, Fl trav, Ob, Vl, Va, Bc,;;Link to lyrics;"Text: Michael Frank (1652); stanzas 2-12 (mvts. 2-5) reworked (author unknown); libretto printing: Leipzig 1724 IV";NBANBA, I/27, S. 29 (Alfred Dürr, 1968) – Critical report (1968), S. 25;Übernahme von www.bach.gwdg.de;19 November 172419 November 1724, Leipzig;https://www.bach-digital.de/receive/BachDigitalWork_work_00000033?lang=en
Bach, Johann Sebastian (1685–1750);Wer weiß, wie nahe mir mein Ende;BWV 27;Sacred cantata (16th Sunday after Trinity);S*S*, A*, T*, B*, S, A, T, B, Cr, Ob, Ob da cac, Vl, Va, Org obl, Bc,;;Link to lyricsAemilie Juliane von Schwarzburg-Rudolstadt (1637-1706);"Text: mvt. 1: stanza 1 from a chorale with the same name by Aemilie Juliane von Schwarzburg-Rudolstadt (1686); mvt. 3: based on an Aria by Erdmann Neumeister (1700); mvt. 6: stanza 1 from 'Welt ade, ich bin dein müde' by Johann Georg Albinus (1649)";NBANBA, I/23, S. 221 (Helmuth Osthoff, 1982) – Critical report (1984), S. 92;Übernahme von www.bach.gwdg.de;6 October 17266 October 1726, Leipzig;https://www.bach-digital.de/receive/BachDigitalWork_work_00000034?lang=en
Bach, Johann Sebastian (1685–1750);Gottlob! nun geht das Jahr zu Ende;BWV 28;Sacred cantata (1st Sunday of Christmas);S*S*, A*, T*, B*, S, A, T, B, Cto, Tbne, Ob, Vl, Va, Bc,;;Link to lyricsJohann Gramann (1487-1541);"Text: Erdmann Neumeister (1716/17); mvt. 2: stanza 1 aus 'Nun lob, mein Seel, den Herren' by Johann Gramann (1530); mvt. 3: Jeremia 32:41; mvt. 6: stanza 12 from 'Helft mir, Gotts Güte preisen' by Paul Eber (c. 1580)";NBANBA, I/3.2, S. 75 (Klaus Hofmann, 2000) – Critical report (2000), S. 53;Übernahme von www.bach.gwdg.de;30 December 172530 December 1725, Leipzig;https://www.bach-digital.de/receive/BachDigitalWork_work_00000035?lang=en
Bach, Johann Sebastian (1685–1750);Sei Lob und Preis mit Ehren (chorale choir);BWV 28/2a  (olim 231) = Anh. 160/2;Motet;SS, A, T, B,;;;"Arrangement of the 2nd movement of BWV 28 as a motet; 2nd movement of the motet ""Jauchzet dem Herrn"" (BWV Anh. 160).";NBANBA, III/3, S. 15 (Frieder Rempp, 2002) – Critical report (2002), S. 34;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000036?lang=en
Bach, Johann Sebastian (1685–1750);Wir danken dir, Gott, wir danken dir;BWV 29;Sacred cantata (Council election);S*S*, A*, T*, B*, S, A, T, B, Tr, Timp, Ob, Vl, Va, Org obl, Bc,;;Link to lyricsPsalm 75:2;"Text: author unknown; mvt. 2: Psalm 75:2; mvt. 8: stanza 5 from 'Nun lob, mein Seel, den Herren' by Johann Gramann (1530) (addition: Königsberg, 1549)";NBANBA, I/32.2, S. 1 (Christine Fröde, 1994) – Critical report (1994), S. 14;Übernahme von www.bach.gwdg.de;27 August 173127 August 1731, 31 August 1739, 24 August 1749, Leipzig;https://www.bach-digital.de/receive/BachDigitalWork_work_00000037?lang=en
Bach, Johann Sebastian (1685–1750);Freue dich, erlöste Schar;BWV 30;Sacred cantata (Birth of John the Baptist [24 June]);S*S*, A*, T*, B*, S, A, T, B, Fl trav, Ob, Ob d’am, Vl conc, Vl, Va, Bc,;;Link to lyricsJohann Olearius (1611-1684);"Text: Picander; mvt. 6: stanza 3 from 'Tröstet, tröstet, meine Lieben' by Johann Olearius (1671)";NBANBA, I/29, S. 59 (Frieder Rempp, 1982) – Critical report (1984), S. 57;Übernahme von www.bach.gwdg.de;24 June 173824 June 1738, Leipzig;https://www.bach-digital.de/receive/BachDigitalWork_work_00000038?lang=en
Bach, Johann Sebastian (1685–1750);Angenehmes Wiederau, freue dich in deinen Auen;BWV 30a;Secular cantata (unknown purpose);S*S*, A*, T*, B*, S, A, T, B, Tr, Timp, Fl trav, Ob, Ob d’am, Vl, Va, Bc,;;Link to lyrics;Text: Picander (1737);NBANBA, I/39, S. 51 (Werner Neumann, 1975) – Critical report (1977), S. 43;Übernahme von www.bach.gwdg.de;28 September 173728 September 1737, Leipzig;https://www.bach-digital.de/receive/BachDigitalWork_work_00000039?lang=en
Bach, Johann Sebastian (1685–1750);Der Himmel lacht, die Erde jubilieret (Leipzig version);BWV 31;Sacred cantata (1st Easter Day);S*S*, T*, B*, S, A, T, B, Tr, Timp, Ob, Ob d’am, Bs, Vl, Va, Bc,;;Link to lyricsJohannes Herman (1548/63);"Text: see BWV 31 (Weimar version); first libretto printings: Leipzig 1724 II and Leipzig 1731 I";NBANBA, I/9, S. 41 (Alfred Dürr, 1985) – Critical report (1986), S. 34;Übernahme von www.bach.gwdg.de;9 April 17249 April 1724, 25 March 1731, Leipzig, St. Nicholas Church (Premiere);https://www.bach-digital.de/receive/BachDigitalWork_work_00000040?lang=en
Bach, Johann Sebastian (1685–1750);Der Himmel lacht, die Erde jubilieret (Weimar version);BWV 31;Sacred cantata (1st Easter Day);S*S*, T*, B*, S, A, T, B, Tr, Timp, Ob, Bs, Vl, Va, Bc,;;Link to lyricsJohannes Herman (1548/63);"Text: mvts. 1-8: Salomon Franck (Weimar 1715); mvt. 9: additional stanza (1575) from 'Wenn mein Stündlein vorhanden ist' by Johannes Herman (1560)";NBANBA, I/9, -- (Alfred Dürr, 1985) –;Übernahme von www.bach.gwdg.de;21 April 171521 April 1715, Weimar;https://www.bach-digital.de/receive/BachDigitalWork_work_00000041?lang=en
Bach, Johann Sebastian (1685–1750);Liebster Jesu, mein Verlangen (Concerto in dialogo);BWV 32;Sacred cantata (1st Sunday of Epiphany);S*S*, B*, S, A, T, B, Ob, Vl, Va, Bc,;;Link to lyricsPaul Gerhardt (1607-1676);"Text: mvts. 1-5: Georg Christian Lehms (1711); mvt. 6: stanza 12 from 'Weg, mein Herz, mit den Gedanken' by Paul Gerhardt (1647)";NBANBA, I/5, S. 143 (Marianne Helms, 1975) – Critical report (1976), S. 120;Übernahme von www.bach.gwdg.de;13 January 172613 January 1726, Leipzig (Premiere);https://www.bach-digital.de/receive/BachDigitalWork_work_00000042?lang=en
Bach, Johann Sebastian (1685–1750);Allein zu dir, Herr Jesu Christ;BWV 33;Chorale cantata (13th Sunday after Trinity);A*A*, T*, B*, S, A, T, B, Ob, Vl, Va, Bc,;;Link to lyrics;"Text: Konrad Hubert (1540, stanza 4 Nürnberg 1540); stanza 2 and 3 (mvts. 2-5) reworked (author unknown); first printing: Leipzig 1724 III";NBANBA, I/21, S. 23 (Werner Neumann, 1958) – Critical report (1959), S. 18;Übernahme von www.bach.gwdg.de;3 September 17243 September 1724, Leipzig (Premiere);https://www.bach-digital.de/receive/BachDigitalWork_work_00000043?lang=en
Bach, Johann Sebastian (1685–1750);O ewiges Feuer, o Ursprung der Liebe;BWV 34;Sacred cantata (1st Day of Pentecost);A*A*, T*, B*, S, A, T, B, Tr, Timp, Fl trav, Ob, Vl, Va, Bc,;;Link to lyrics;"Text: author unknown; mvt. 5 using Psalm 128:6; first libretto printing: Leipzig 1727";NBANBA, I/13, S. 129 (Dietrich Kilian, 1959) – Critical report (1960), S. 112;Übernahme von www.bach.gwdg.de;1 June 17271 June 1727, Leipzig;https://www.bach-digital.de/receive/BachDigitalWork_work_00000044?lang=en
Bach, Johann Sebastian (1685–1750);O ewiges Feuer, o Ursprung der Liebe;BWV 34a;Sacred cantata (Wedding);S*S*, A*, T*, B*, S, A, T, B, Vl, Va, Bc,;;Link to lyrics;"Incomplete; according to recent studies this version is the parody of BWV 34; Lit.: T. Schabalina, in: BJ 2010.";NBANBA, I/33, S. 27 (Frederick Hudson, 1958) – Critical report (1958), S. 37;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000045?lang=en
